What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,None or not applicable to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,Please specify your main <strong>academic discipline</strong>.,Start Date (UTC),Submit Date (UTC)
Linux,,,,,Git,,,,,,,,R,Python,,C,,,,,,,GNU Octave,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,README files,,,Makefiles,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Physical Sciences,2016-11-09 10:32:24,2016-11-09 10:37:55
Linux,,,,,Git,,,,,,,,R,Python,Perl,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,None or not applicable to my project(s),,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Biological Sciences,2016-11-09 10:01:25,2016-11-09 10:05:28
Linux,,,,,Git,,,,,,,,,,,,,,,,,,Nextflow,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,README files,,,,,,,Nextflow,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Biological Sciences,2016-11-09 09:48:06,2016-11-09 09:52:32
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,Matlab,R,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,Basic Medicine,2016-11-09 08:02:38,2016-11-09 08:29:56
Linux,,,,,Git,Mercurial,,,,,,,R,Python,,,,,,Julia,,,D,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,,RST/Sphinx,"Read the Docs",,,,Markdown,README files,,CMake,Makefiles,,,,,,GitHub,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,Clinical Medicine,2016-11-09 08:01:20,2016-11-09 08:06:59
Windows,,,,,Git,,Subversion,,,,,,,,,,,,,,,,"PHP, Javascript",No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,Chemical Engineering,2016-11-09 07:07:06,2016-11-09 07:30:53
Windows,,,I don't use version control but I know what it is,,,,,,,,,,,,,C,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,,,,,,,,,,README files,,,,,Autotools,,,,GitHub,,,,,I have written my own simple programs,Computer and Information Sciences,2016-11-07 16:57:12,2016-11-07 17:00:35
Windows,,,,,Git,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,,,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,Earth and Related Environmental Sciences,2016-11-04 14:06:57,2016-11-04 14:15:22
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,Earth and Related Environmental Sciences,2016-11-04 13:37:31,2016-11-04 13:52:49
Windows,,,,,Git,,Subversion,,,,,,,Python,,,,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,Yes,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,Makefiles,,,None or not applicable to my project(s),,,,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,Earth and Related Environmental Sciences,2016-11-04 13:13:44,2016-11-04 13:42:17
Linux,,,,,Git,,,,,,,,,Python,,C,C++,Fortran 77,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,,,,Makefiles,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Computer and Information Sciences,2016-11-01 14:28:08,2016-11-01 14:46:02
Mac OS X,,,,,Git,,,,,,,,,Python,,C,C++,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,,,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,Physical Sciences,2016-11-01 13:43:10,2016-11-01 13:46:09
